Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Teignbridge;P C M Nicholls;10;Devon;74892;31272;8128;22416;0;0;671
Thanet North;R J Gale;12;Kent;70978;30867;12657;9563;0;0;873
Thanet South;J W P Aitken;12;Kent;62441;25253;13740;8948;0;0;871
Thurrock;A S MacKinlay;9;Essex;69171;23619;24791;5145;0;0;508
Tiverton;Mrs A F Browning;10;Devon;71024;30376;5950;19287;0;0;3328
Tonbridge and Malling;Rt Hon Sir John P Stanley;12;Kent;77292;36542;11533;14984;0;0;833
Tooting;T M Cox;11;Wandsworth;68306;20494;24601;3776;0;0;2217
Torbay;R W S Allason;10;Devon;71171;28624;5503;22837;0;0;425
Torridge and West Devon;Miss E H Nicholson;10;Devon;76933;29627;5997;26013;0;0;1039
Tottenham;B A M Grant;11;Haringey;68319;13341;25309;5120;0;0;1053
Truro;M O J Taylor;10;Cornwall;75101;23660;6078;31230;0;0;885
Tunbridge Wells;Rt Hon Sir Patrick B B Mayhew QC;12;Kent;76808;34162;8300;17030;0;0;503
Twickenham;T F H Jessel;11;Richmond upon Thames;63072;26804;4919;21093;0;0;340
Tyne Bridge;D G Clelland;3;Newcastle area;53079;7118;22328;3804;0;0;0
Tynemouth;N G Trotter;3;Newcastle area;74955;27731;27134;4855;0;0;543
Upminster;Sir Nicholas C Bonsor Bt;11;Havering;64138;28791;14970;7848;0;0;0
Uxbridge;J M Shersby;11;Hillingdon;61744;27487;14308;5900;0;0;1008
Vauxhall;Ms C L Hoey;11;Lambeth;62473;10840;21328;5678;0;0;1111
Wakefield;D M Hinchliffe;5;West Yorkshire;69794;20374;26964;5900;0;0;0
Wallasey;Ms A Eagle;4;Merseyside;65676;22722;26531;4177;0;0;755
Wallsend;S J Byers;3;Newcastle area;77941;13969;33439;10369;0;0;0
Walsall North;D J Winnick;7;Black Country;69604;20563;24387;6629;0;0;614
Walsall South;B T George;7;Black Country;65642;20955;24133;4132;0;0;840
Walthamstow;N F Gerrard;11;Waltham Forest;49140;13455;16251;5142;0;0;929
Wansbeck;J Thompson;3;Northumberland;63457;11872;30046;7691;0;0;710
Wansdyke;J H Aspinwall;10;Bristol Area;77156;31389;18048;14834;0;0;800
Wanstead and Woodford;J N Arbuthnot;11;Waltham Forest;55821;26204;9319;7362;0;0;815
Wantage;R V Jackson;12;Oxfordshire;68328;30575;10955;14102;0;0;867
Warley East;A M W Faulds;7;Black Country;51717;12097;19891;4547;0;0;561
Warley West;J F Spellar;7;Black Country;57164;15914;21386;4945;0;0;0
Warrington North;E D H Hoyle;4;Cheshire;78548;20397;33019;6965;0;0;400
Warrington South;M T Hall;4;Cheshire;77694;27628;27819;7978;0;0;321
Warwick and Leamington;Sir Dudley G Smith;7;Warwickshire;71259;28093;19158;9645;0;0;1210
Warwickshire North;M O'Brien;7;Warwickshire;71473;26145;27599;6167;0;0;0
Watford;W A T T Garel-Jones;9;Hertfordshire;72291;29072;19482;10231;0;0;742
Waveney;D J Porter;9;Suffolk;84181;33174;26472;8925;0;0;302
Wealden;Sir Geoffrey J Johnson-Smith;12;East Sussex;74665;37263;5579;16332;0;0;1184
Wellingborough;P D Fry;8;Northamptonshire;73875;32302;20486;7714;0;0;0
Wells;D P Heathcoat-Amory;10;Somerset;69833;28620;6126;21971;0;0;1042
Welwyn Hatfield;D J Evans;9;Hertfordshire;72146;29447;20982;10196;0;0;264
Wentworth;P Hardy;5;South Yorkshire;64914;10490;32939;4629;0;0;0
West Bromwich East;P C Snape;7;Black Country;56940;17100;19913;5360;0;0;477
West Bromwich West;Miss B Boothroyd;7;Black Country;57655;14421;22251;3925;0;0;0
Westbury;D J C Faber;10;Wiltshire;87356;36568;9642;23962;0;0;2328
Westminster North;Sir John D Wheeler;11;City of Westminster;58847;21828;18095;3341;0;0;1313
Westmorland and Lonsdale;Rt Hon T M Jopling;4;Cumbria;71865;31798;8436;15362;0;0;287
Weston-super-Mare;A W Wiggin TD;10;Bristol Area;78839;30022;6913;24680;0;0;1262
Wigan;R Stott CBE;4;Western Manchester;72739;13068;34910;6111;0;0;1313
Wiltshire North;R F Needham;10;Wiltshire;85851;39028;6945;22640;0;0;1538
Wimbledon;Dr C Goodson-Wickes;11;Merton;61917;26331;11570;10569;0;0;1211
Winchester;P G Malone;12;Hampshire;79218;33113;4917;24992;0;3095;0
Windsor and Maidenhead;Hon M StJ Trend;12;Berkshire;77327;35075;4975;22147;0;0;964
Wirral South;G B Porter;4;Merseyside;61116;25590;17407;6581;0;0;766
Wirral West;Rt Hon D J F Hunt MBE;4;Merseyside;62453;26852;15788;7420;0;0;888
Witney;Rt Hon D R Hurd CBE;12;Oxfordshire;78521;36256;13688;13393;0;0;969
Woking;Rt Hon C G D Onslow;12;Surrey;80842;37744;8080;17902;0;0;302
Wokingham;J A Redwood;12;Berkshire;85914;43497;8846;17788;0;0;679
Wolverhampton North East;K Purchase;7;Black Country;62695;20167;24106;3546;0;0;1087
Wolverhampton South East;D Turner;7;Black Country;56158;12975;23215;3881;0;0;850
Wolverhampton South West;N W Budgen;7;Black Country;67288;25969;21003;4470;0;0;1237
Woodspring;Dr L Fox;10;Bristol Area;77534;35175;9942;17666;0;0;1737
Woolwich;J E Austin-Walker;11;Greenwich;55977;6598;17551;0;0;15326;220
