Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Glasgow Cathcart;EM Taylor;2;Glasgow area;49346;18247;16152;0;5410;0;0
Glasgow Central;TM McMillan;2;Glasgow area;25426;3435;9400;982;2211;0;0
Glasgow Craigton;B Millan;2;Glasgow area;43949;10817;18055;0;6303;0;0
Glasgow Garscadden;WW Small;2;Glasgow area;54267;9771;21035;0;8789;0;635
Glasgow Govan;SH Selby;2;Glasgow area;31928;3049;10326;763;9783;0;0
Glasgow Hillhead;TGD Galbraith;2;Glasgow area;41553;14378;7997;6644;3702;0;0
Glasgow Kelvingrove;NG Carmichael;2;Glasgow area;42505;10717;13115;0;5666;0;0
Glasgow Maryhill;JM Craigen;2;Glasgow area;51236;6625;20303;0;8920;0;0
Glasgow Pollok;J White;2;Glasgow area;59019;17684;21090;0;6584;0;377
Glasgow Provan;HD Brown;2;Glasgow area;54454;6324;23154;0;7367;0;749
Glasgow Queen's Park;F McElhone;2;Glasgow area;38556;7517;15883;0;4394;0;462
Glasgow Shettleston;M Galpern;2;Glasgow area;38176;6472;14208;0;5834;0;0
Glasgow Springburn;R Buchanan;2;Glasgow area;47790;7452;18067;0;7672;0;478
Greenock and Port Glasgow;JD Mabon;2;Glasgow area;62120;7892;20565;8789;4881;0;483
Hamilton;A Wlison;2;Ayrshire and Lanark;49861;7977;19070;0;12692;0;0
Inverness;DR Johnston;2;Highland;57368;11680;7816;16903;7258;0;0
Kilmarnock;W Ross;2;Ayrshire and Lanark;59898;13817;23544;4878;7644;0;0
Kinross and West Perthshire;A Douglas-Home;2;Tayside;35020;14356;2694;3807;6274;0;0
Kirkcaldy;HPH Gourlay;2;Fife;60251;13087;22469;0;12311;0;0
Lanark;JCM Hart;2;Ayrshire and Lanark;48059;14723;16823;0;8803;0;0
Lanarkshire North;J Smith;2;Glasgow area;53541;14664;21448;0;8187;0;0
Midlothian;A Eadie;2;Edinburgh area;88409;20478;32220;0;19450;0;0
Moray and Nairn;WM Ewing;2;Grampian;41380;14229;2299;0;16046;0;0
Motherwell and Wishaw;GM Lawson;2;Glasgow area;50899;11997;18310;0;7852;0;1066
Orkney and Shetland;J Grimond;2;Orkney and Shetland;26087;4186;2865;11491;0;0;0
Paisley;J Robertson;2;Glasgow area;65466;14923;23820;0;10455;0;0
Perth and East Perthshire;I MacArthur;2;Tayside;57206;21167;6784;4644;12192;0;0
Renfrewshire East;MBH Anderson;2;Glasgow area;62973;25713;10227;9588;5268;0;0
Renfrewshire West;NF Buchan;2;Glasgow area;66455;19510;22178;5022;8394;0;0
Ross and Cromarty;JHN Gray;2;Highland;29134;7908;4336;4621;5037;0;0
Roxburgh, Selkirk and Peebles;DMS Steel;2;Borders;57478;16690;3089;25707;3953;0;0
Rutherglen;JG Mackenzie;2;Ayrshire and Lanark;48452;14852;19005;0;6089;0;0
Stirling, Falkirk and Grangemouth;H Ewing;2;Central;64046;12228;21685;0;17836;0;0
Stirlingshire East and Clackmannan;GN Reid;2;Central;62222;9994;18679;0;22289;0;322
Stirlingshire West;W Baxter;2;Central;52446;12789;17730;0;12886;0;0
West Lothian;T Dalyell;2;Edinburgh area;76943;11804;28112;0;21690;0;438
Western Isles;DJ Stewart;2;Western Isles;22683;1042;2879;0;10079;0;1031
Antrim North;I Paisley;1;Antrim;104168;0;10056;41282;0;0;13651
Antrim South;JH Molyneaux;1;Antrim;118483;48203;8769;0;0;12559;1801
Armagh;JH McCusker;1;Armagh;91521;33194;18090;0;0;4983;5493
Belfast East;W Craig;1;Antrim;80032;27817;1502;0;0;20077;8122
Belfast North;J Carson;1;Antrim;72178;21531;12003;0;0;0;15672
Belfast South;R Bradford;1;Antrim;75443;22083;4149;0;0;5118;20540
Belfast West;G Fitt;1;Antrim;66639;17374;19554;0;0;0;10739
Down North;JA Kilfedder;1;Down;94069;38169;2376;0;0;0;21943
Down South;LPS Orr;1;Down;91792;31088;25486;0;0;0;3046
Fermanagh and South Tyrone;H West;1;Fermanagh;69775;26858;15410;0;0;0;19386
Londonderry;W Ross;1;Londonderry;93680;33060;23670;0;0;0;6051
Ulster Mid;J Dunlop;1;Tyrone;84106;26004;19372;0;0;0;21305
