Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Leyton and Wanstead;H. Cohen;11;Waltham Forest;62176;8736;23922;5920;0;0;744
Lichfield;M. Fabricant;7;Staffordshire;62720;20853;20615;5473;0;0;1652
Lincoln;Ms G. Merron;8;Lincolnshire;65485;14433;25563;5048;0;0;1504
Liverpool Garston;Ms M. Eagle;4;Merseyside;66755;6819;26667;8250;0;0;1746
Liverpool Riverside;Ms L. Ellman;4;Merseyside;73429;3635;26858;5059;0;0;2583
Liverpool Walton;P. Kilfoyle;4;Merseyside;67527;2551;31516;4478;0;0;1662
Liverpool Wavertree;Ms J. Kennedy;4;Merseyside;73063;4944;29592;9891;0;0;1491
Liverpool West Derby;R. Wareing;4;Merseyside;68682;3656;30002;3805;0;0;4694
Loughborough;A. Reed;8;Leicestershire;68945;19736;25448;6190;0;0;991
Louth and Horncastle;Sir P. Tapsell;8;Lincolnshire;68824;21699;14799;12207;0;0;1248
Ludlow;C. Gill;7;Shropshire;61267;19633;11745;13724;0;0;1183
Luton North;K. Hopkins;9;Bedfordshire;64618;16234;25860;4299;0;0;939
Luton South;Ms M. Moran;9;Bedfordshire;68395;15109;26428;4610;0;0;2037
Macclesfield;N. Winterton;4;Cheshire;72049;26888;18234;9075;0;0;0
Maidenhead;Mrs T. May;12;Berkshire;67302;25344;9205;13363;0;0;2977
Maidstone and The Weald;Rt.Hon. Miss A. Widdecombe;12;Kent;72466;23657;14054;11986;0;0;3911
Makerfield;I. McCartney;4;Western Manchester;67358;6942;33119;3743;0;0;1210
Maldon and Chelmsford East;J. Whittingdale;9;Essex;66184;24524;14485;9758;0;0;1620
Manchester Blackley;G. Stringer;4;Central Manchester;62227;5454;25042;3937;0;0;1323
Manchester Central;A. Lloyd;4;Central Manchester;63815;3964;23803;4121;0;0;1649
Manchester Gorton;Rt.Hon. G. Kaufman;4;Central Manchester;64349;4249;23704;6362;0;0;1996
Manchester Withington;K. Bradley;4;Central Manchester;66116;8522;27103;6000;0;0;2402
Mansfield;A. Meale;8;Nottinghamshire;67057;10038;30556;5244;0;0;1588
